Data,Open,High,Low,Price
2023-02-04,125.7,124.57,120.17,121.84
2023-02-05,121.84,121.33,117.02,117.48
2023-02-06,117.48,124.41,119.75,124.04
2023-02-07,124.04,124.19,120.23,121.19
2023-02-08,121.19,117.43,106.83,108.54
2023-02-09,108.54,109.78,103.86,105.57
2023-02-10,105.63,109.84,107.66,109.52
2023-02-11,109.52,116.8,107.52,113.44
2023-02-12,113.44,111.28,104.69,108.06
2023-02-13,108.06,117.17,111.73,113.84
2023-02-14,113.77,125.88,122.09,123.95
2023-02-15,123.95,120.71,113.53,116.22
2023-02-16,116.22,122.65,119.69,120.39
2023-02-17,120.39,124.14,120.17,122.07
2023-02-18,122.09,133.39,120.65,130.14
2023-02-19,130.14,141.74,129.26,136.52
2023-02-20,136.52,135.14,128.39,130.21
2023-02-21,130.21,129.72,121.02,125.45
2023-02-22,125.33,124.78,122.66,123.43
2023-02-23,123.43,122.28,118.41,120.67
2023-02-24,120.63,120.86,113.87,117.2
2023-02-25,117.2,122.92,119.66,121.46
2023-02-26,121.46,121.14,118.13,118.38
2023-02-27,118.38,117.27,114.01,114.65
2023-02-28,114.65,118.3,115.72,117.41
2023-03-01,117.41,116.84,114.34,114.91
2023-03-02,114.91,112.75,106.94,112.23
2023-03-03,112.17,112.26,106.93,109.88
2023-03-04,109.85,113.18,109.28,109.78
2023-03-05,109.78,109.08,106.52,106.98
2023-03-06,106.98,108.02,104.03,105.69
2023-03-07,105.69,102.86,93.09,95.32
2023-03-08,95.32,91.4,88.05,90.07
2023-03-09,90.07,96.16,85.98,95.35
2023-03-10,95.59,96.49,90.09,92.57
2023-03-11,92.57,105.82,98.71,104.34
2023-03-12,104.43,115.92,105.9,106.71
2023-03-13,106.71,111.23,105.58,110.21
2023-03-14,110.21,111.34,100.16,102.16
2023-03-15,102.16,105.24,102.01,103.71
2023-03-16,103.71,115.27,109.78,114.6
2023-03-17,114.79,117.45,111.14,111.79
2023-03-18,111.94,119.36,115.38,115.84
2023-03-19,115.73,123.29,112.47,117.24
2023-03-20,117.21,123.32,116.22,119.13
2023-03-21,119.13,116.54,112.63,113.45
2023-03-22,113.45,119.78,116.3,117.62
2023-03-23,117.63,113.73,108.17,109.47
2023-03-24,109.47,110.26,107.86,108.22
2023-03-25,108.22,111.6,109.63,110.85
2023-03-26,110.88,107.01,103.39,104.73
2023-03-27,104.73,107.66,103.32,106.43
2023-03-28,106.43,111.42,108.58,109.05
2023-03-29,109.05,107.69,103.25,105.84
2023-03-30,105.84,109.32,105.1,108.16
2023-03-31,108.16,108.71,106.69,107.78
2023-04-01,107.78,108.15,104.91,105.29
2023-04-02,105.29,106.04,101.84,104.4
2023-04-03,104.48,108.47,106.18,106.65
2023-04-04,106.76,106.49,104.92,106.21
2023-04-05,106.21,106.27,104.7,104.95
2023-04-06,104.95,105.22,103.51,104.08
